Score,Review
3,삼성 큐브 공기청정기를 사용 중인데 스마트 에어에서 내방 공기청정 정보가 뜨지 않습니다. 공기청정기를 켜라고 하는데 켜져 있음에도 꺼져있다고 인식합니다. 하지만 공기청정기를 클릭하여 들어가면 정상적으로 켜져있고 정보가 호출되는데 스마트에어에서만 확인이 불가능합니다.
5,갤럭시 홈미니 IR리모컨 등록시 네트워크 또는 서버에 오류가 발생했습니다. 나중에 다시 시도해보세요. 때문에 등록이 되질 않습니다. 10번 이상은 해본거같은데 매번 동일 합니다. 와이파이 재설정을 몇번을 해도 동일 합니다. 수정 좀 해주세요.
5,"궁금한게 있습니다. 휴대폰에서 티비보기 기능을 사용하는데요 스마트씽스앱에 스마트티비랑 연결해서 노트8로 티비보기 기능이 있더라구요 이걸 스마트티비랑 태블릿(ZTE TREK2, OS 누가)연결해서 보고 싶어서 앱 깔았더니 티비보기 버튼 자체가 없어요 ㅠㅠ 왜 안되는건지 궁금하구요. 기능 지원 좀 해주세요... 이 기능 지원되는 태블릿은 뭐가 있는지도 알려주새요... 진짜 유용한데..."
5,"티비와 미러링 후에 유튜브나 멜론 등등은 미디어나 디바이스에서 소리장치를 내가 원하는 티비나 핸드폰, 무선이어폰 등등으로 옮길수 있으나 넷플릭스는 해당이 되지 않네요. 다른 어플까지 추가해주셨으면 합니다."
2,알림창에 항상표시해놓게 설정해놨는데 연결이 되있어도 안뜰때가 있어요. 그리고 사운드출력을 어디서 할지 선택하는 버튼이 뜰때도있고 안뜰때도 있는데 이럴때마다 연결을 끊고 다시 해야합니다. 이것좀 빨리 고쳐주세요.
1,구글 계정으로 로그인 하니 로그인도 잘 안되고. 계속 튕기고 너무 불편함 아니....구글 로그인 이후 튕겨서 더이상 로그인이 안되는데 어떻게 앱에서 문의하기를 하라고 답변 주시나요? 로그인누르면 웹페이지로 넘어가는데 계속을 누르면 아무 반응없어요...몇분을 기다려도 !!!
1,이번 업뎃후에 미러링이 되었던 TV가 연결이 안되네요 업뎃 이전 연결해서 잘보고 있었는데 다시 되돌려주세요 뭘 위한 업뎃인지 모르겠네요 TV기기 연결은 2016년 모델 80여개와 2017년 이후 꺼만 추가할수있게 되어있네요 예전 스마트TV 구입한 사람들은 신경쓸필요없어서 그런가요?
1,이번 업데이트 이후에도 워치와 연동 안됨 멀쩡한앱 쓰레기로 만들고 수정도 안해줌 댓글 기능이 없어서 다시 글 수정해봅니다 삼성멤버스에 이미 한달전부터 문의해둔 상태이고 업데이트해서 해결해준다고 하더니 업데이트 해도 해결이 안되는군요? 제 워치가 불량인가요? 아니면 앱이 문제인가요? 삼성멤버스도 오류보내기 하라고 해서 다 해드렸는데 개선 안되네요?
1,처음에 와이파이로 연결했다가 다른 와이파이로 변경하려고 하는데 안되는 이유는 뭘까요.. 가전 모두 삼성으로 사놓고 전혀 기능을 사용하지 못하고 있습니다
4,SmartThings Air 에 있는 공기질 지킴이 이거 작동되는기능 맞나요? 나쁨부터 자동으로 켜지게 해놨는데 나쁨으로 바껴도 혼자서 안켜지는데요.. 공기청정기 모델은 AX40R3080WMD입니다
1,쓰레기네요. 삼성 대실망입니다. IoT 연동은 되지도 않고. 공유기나 폰 문제인가 했더니 다른 IoT 제품은 잘만 연동 되네요. 박스 버렸는데. 고객센터 전화해서 알아서 가져가든 말든 하라 할 겁니다. 샤오미 만도 못한 걸 삼성 브랜드 걸고 팔고 서비스하면 부끄럽지 않나요?
1,공기청정기를 등록하려하는데 모델을 선택하고 공기청정기등록하기 화면에 시작을 누르면 다시 모델 선택화면으로 돌아가버리네요.
1,아니 스마트 씽스 쓰는데 뭔 삼성 브라우저까지 깔으라고 그러는지..내가 앱 하나깔라고 쓰는거지 굳이 삼성 브라우저까지 깔아야함? 짜증이 확나네ㅡㅡ
4,첫화면에 숨김 처리한 tv 유니버셜 가이드가 가끔 다시 나타납니다. 다시 안보이게 편집하고 사용중 또 제일 상단에 표시됨. 그리고 표시되는 영화나 tv 정보 이미지는 해상도가 달라서 보기 아주 불편함. 가이드 할려면 제대로 표시해서 잘 만들어야... 겉만 보기 좋은 깡통 어플. 글로벌 삼성 이미지 추락. 가전 어플은 정말 다른 경쟁? 업체 벤치마킹 좀 합시다.
3,저장된 WI-FI 이름을 변경했는데 스마트싱스 앱에서 Wi-Fi 정보 업데이트(재등록)이 안되네요.
1,갤럭시 미니 ir 리모콘 등록이안됩니다 네트워크 서버 오류났다고..나중에하라는데..티비 셋톱 다안되네요ㅡㅜ
4,"울집 티비는 구형 스마트티비라 와이파이 연결이 아닌 유선으로 연결되어 있어서 스마트뷰로는 연결이 되지 않는데 스마트씽으로 IPTV가 잡힙니다. 물론 다른 크롬캐스트 어플쓰면 되지만 광고에 질려서 스마트씽을 계속 쓰고있는데요. 끊김없는 재생이 맘에 듭니다. 1. 콘텐츠 재생을 선택했을때 사진, 오디오, 동영상 외에 폴더 선택하여 콘텐츠 선택할수있는 기능이 있으면 좋겠습니다. 동영상선택시 많아서 찾기가 힘듬. 2. 삼성비디오라이브러리의 기능이 같이 제공되었으면 좋겠습니다. 자막씽크 안맞을때 조정불가 3. 아니면 삼성 비디오라이브러리 기능에 TV로 전송 기능있으면 대박일거 같네요."
1,"A51사용자입니다. 퀵패널 문제 꽤 된거 같고 사용자들 불만도 많은거 같은데, ㅋㅋㅋ 미디어 디바이스 만든 회사한테 돈을 먹은건지 뭔지. 전에 있던 패널 하나 다시 적용시키는게 어려운 일은 아닐텐데 그걸 못해서 방안 검토중이다만 계속 답변하니 앱 쓰고 싶겠습니까? 아니 피드백 하나 안되는데 뭘 업데이트고 말고입니까? 누가봐도 퀵패널 미디어/디바이스 란으로 때려박은거 편리성에서 퇴보인게 딱 보이는데 이걸 제시한 사람도 이상하고 이걸 컨펌한 사람도 이상하네요 ㅋㅋㅋㅋ. 퀵패널 다시 고치기 전까지 안씁니다. 리뷰에 답변단거 보고왔는데 ㅋㅋㅋ 다양한 기능 추가하느라 부득이하게 미디어 디바이스 패널로 합쳤다고 말하는데 어이가없네요. 네이버 앱만봐도 새로 플랫폼 만들었더라도 기존 플랫폼 계속 쓰고 싶은 사람들에게는 이전거 사용할 수 있도록 선택권주는데, 기존에 만들어 놓은 기능을 병용은 못하고 부득이하게 없앨 수 밖에 없다? 이용자들을 빙다리 핫바지로 보시나?"
1,에어컨 자동실행 0.5도단위로 변경하는게 그렇게 어렵냐?! 컴플레인을 몇번을 했는데
2,상단바 내리면 표시되든 워치표시 언능 되게 해주세요 잘쓰고 있는데 왜그러세요 업뎃 기다렸다 하는데도 왜 안해주시나요 언능언능 해주세요
1,앱이 업데이트 할때마다 오류인지... 이번 업데이트 후 잘 사용하던 공기청정기 설정이 전혀 안됩니다. 다시 지우고 새로 깔고 새로 기기 추가를 해도 역시 마찬가지... 샤오미 앱도 이렇지는 않습니다. 샤오미 보다 못한 삼성 앱이라니... 삼성공기청정기에 삼성 갤럭시 핸드폰으로 삼성 앱을 사용하는데 번번히 오류라니 이해가 잘 안되네요
1,기존 블루투스 연결기기에 대한 정보가 상단바 알림창에 직관적으로 확인 할수 있는데 이번 업데이트후 해당 표기가 없어졌습니다. 업데이트라는것이 기존에 더욱 편리하게 사용을 해야 하는것인데 해당 기능을 사용한 사람들에게는 너무나 불편한 변경입니다. 웹사이트나 삼성 커뮤니티에도 해당 문의가 있는데 개선해 주셨으면 좋겠습니다. 해당 설정을 사용자가 선택할수 있게 유무를 추가 부탁드립니다.
4,가능한 새로운 기계들은 스마트띵 앱 깔면 자동으로 연결 되면 좋겠어요. 기계와 핸드폰 센서가 동기화 되면서 질문하면 클릭 한방에 연결하면 평점 좋게 줬을 텐데. 설명서 안봐서 좀 헤메다 연결했는 데 삼성 실력이면 하고도 남을 일을......
5,버즈 컨트롤도 잘되고 로봇청소기 돌리기 딱 좋네요. 빅스비 지원해줘서 더 좋은거 같아요! 근데 앱으로 수동청소 조종할때 살짝 버벅거리는 느낌이 있네요.. 리모컨이 아니니까 그 정도는 감수해야겠죠?ㅎㅎ 좋은 기술 만들어줘서 고맙습니다~
1,3일전 최신업데이트 후 노트10+ 사용자입니다. al ways on display 핸드폰 화면 시계가 밝았는데 갑자기 이거 업데이트후 숫자도 안보이게 어두워짐 배경밝기는 핸드폰 내부만 밝기가 조정이 되고 이앱 땜에 갑자기 답답함 정말 짜증남 업데이트 후 상단바에 미디어 디바이스 뜸 전 이게 뜨는게 싫은데 이 앱을 삭제 하지않는 이상 뜨나봄 2가지 사항 업데이트 전으로 개선 부탁합니다
4,냉장고를 연결하여 사용해보니 참 편리하고 좋네요. 다만 아쉬운 점은 제가 입력해 둔 푸드 리스트를 추가된 구성원은 볼 수 없다는 것입니다. 추후 업데이트 시 이 부분도 개선해주시면 감사할 것 같아요. ^^
5,좋으네요. 블루투스 밖에 없지만 하나로 모아줘 편리합니다. 생각지도 않았는데^^
5,노트북과도 연동이 잘되었으면 좋겠습니다. 앱 만들어주셔서 편하게 살고있어요. 감사합니다.
1,웨일 브라우저에서는 삼성 로그인을 지원하지 않는건가요? 사용하지도 않는 삼성브라우저를 설치했는데도 삼성어카운트에 접근이 안되는군요. 확인 바랍니다. G6사용중입니다. ⊙개발자 답글에 대한 댓글 : 단순히 스마트띵즈 로그인을 위해서 사용하지도 않는 삼성브라우저를 설치하고 메인 브라우저로 설정까지 바꾸었는데 그것도 모자라서 메인으로 쓰고있는 웨일브라우저를 지우라구요. 그게 가당키나 한 요구라고 개발자 양심으로 하신 말씀입니까? 이런 말도 안되는 상황을 당연시하는 삼성이 싫어서 마음에 안들어도 엘지폰 쓰는 사람입니다. 계속 지켜봅니다. 삼성이 정신차리는 상황을...
